State,State Abbreviation,State FIPS Code,Closed K-12 public schools,Closed day cares,Banned visitors to nursing homes,Closed other non-essential businesses,Closed restaurants except take out,Closed gyms,Closed movie theaters,Closed bars,Closed casinos,Mention of Tribal Casinos,Began to reopen businesses statewide,Reopened restaurants,Initially reopened restaurants for outdoor dining only,Reopened gyms,Reopened movie theaters,Reopened hair salons/barber shops,Reopened religious gatherings,Reopened other non-essential retail,Reopened bars,Reopened child care,Reopened casinos,Begin to Re-Close Bars,Re-Close Bars (statewide),Re-Close Movie Theaters (statewide),Re-Close Gyms (statewide),Re-close hair salons and barber shops (statewide),Re-Close Indoor Dining (Statewide),Re-close casinos (statewide),Re-open indoor dining statewide x2,Re-open bars statewide x2,Re-open gyms statewide x2,Re-open movie theaters statewide x2,Re-open casinos x2,Close Bars (x3),Close Movie Theaters (x3),Close Gyms (x3),Close Indoor Dining (x3)
North Carolina,NC,37,3/16/2020,0,3/25/2020,3/30/2020,3/18/2020,3/25/2020,3/25/2020,3/17/2020,0,0,5/8/20,5/22/20,0,9/4/20,0,5/22/20,5/16/20,5/8/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dakota,ND,38,3/16/2020,0,4/6/2020,3/20/2020,3/21/2020,3/20/2020,3/20/2020,3/20/2020,0,0,5/1/20,5/1/20,0,5/1/20,5/1/20,5/1/20,0,5/1/20,5/1/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,OH,39,3/17/2020,3/26/2020,3/11/2020,3/24/2020,3/16/2020,3/17/2020,3/17/2020,3/15/2020,0,0,5/4/20,5/15/20,1,5/22/20,6/10/20,5/15/20,0,5/12/20,5/15/20,5/31/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,OK,40,3/17/2020,0,3/24/2020,4/1/2020,4/1/2020,4/1/2020,4/1/2020,4/1/2020,0,0,4/24/20,5/1/20,0,5/1/20,5/1/20,4/24/20,5/1/20,4/24/20,5/15/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,OR,41,3/16/2020,3/25/2020,3/16/2020,3/23/2020,3/18/2020,3/24/2020,3/24/2020,3/17/2020,0,0,5/15/20,6/19/20,0,6/19/20,0,6/19/20,5/15/20,5/15/20,6/19/20,5/16/20,0,11/18/2020,11/18/2020,0,11/18/2020,0,11/18/2020,0,0,0,0,0,0,0,0,0,0
Pennsylvania,PA,42,3/16/2020,3/17/2020,3/17/2020,3/21/2020,3/18/2020,3/21/2020,3/21/2020,3/18/2020,3/17/20,0,6/5/20,6/5/20,1,7/3/20,7/3/20,7/3/20,0,6/5/20,6/5/20,6/5/2020,6/9/20,7/16/2020,7/16/2020,12/12/2020,12/12/2020,0,12/12/2020,12/12/2020,1/4/2021,0,1/4/2021,1/4/2021,1/4/2021,0,0,0,0
Rhode Island,RI,44,0,3/16/2020,3/13/2020,3/30/2020,3/18/2020,3/23/2020,3/23/2020,3/17/2020,03/22/2020,0,5/9/20,5/18/20,1,6/1/20,6/30/20,6/1/20,5/30/20,5/9/20,6/1/20,6/1/20,6/8/20,11/30/2020,0,11/30/2020,11/30/2020,0,0,11/30/2020,0,0,12/21/2020,12/21/2020,12/21/2020,0,0,0,0
South Carolina,SC,45,3/16/2020,0,3/15/2020,4/1/2020,3/19/2020,4/1/2020,4/1/2020,3/18/2020,4/1/20,0,4/20/20,5/4/20,1,5/18/20,8/3/2020,5/18/20,0,4/20/20,5/4/20,0,5/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,SD,46,3/16/2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,TN,47,3/20/2020,0,3/23/2020,4/1/2020,3/24/2020,3/23/2020,3/23/2020,3/23/2020,0,0,4/27/20,4/27/20,0,5/1/20,5/22/20,5/6/20,0,4/27/20,5/22/20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
