State,Total population,Male,Female,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Under 18 years,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,One race,Two or more races,One race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,Two or more races,White and Black or African American,White and American Indian and Alaska Native,White and Asian,Black or African American and American Indian and Alaska Native,Total population,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some other race,"Citizen, 18 and over population",Male,Female
ID,"1,717,750",50.1%,49.9%,6.7%,7.2%,7.4%,7.1%,6.7%,13.1%,12.5%,11.6%,6.2%,6.1%,9.3%,4.5%,1.6%,25.7%,77.3%,74.3%,70.2%,19.0%,15.4%,97.1%,2.9%,97.1%,90.0%,0.7%,1.3%,1.4%,0.2%,3.5%,2.9%,0.4%,0.9%,0.7%,0.0%,"1,717,750",92.7%,1.2%,2.5%,2.4%,0.4%,4.0%,"1,220,310",49.6%,50.4%
IL,"12,770,631",49.1%,50.9%,6.0%,6.2%,6.5%,6.6%,6.7%,13.9%,12.9%,13.1%,6.8%,6.2%,8.7%,4.5%,2.0%,22.6%,80.0%,77.4%,73.4%,18.8%,15.2%,97.4%,2.6%,97.4%,71.5%,14.2%,0.3%,5.5%,0.0%,5.9%,2.6%,0.8%,0.3%,0.6%,0.1%,"12,770,631",73.8%,15.3%,0.8%,6.3%,0.1%,6.5%,"9,049,960",48.3%,51.7%
IN,"6,665,703",49.3%,50.7%,6.3%,6.5%,6.7%,6.9%,7.1%,13.0%,12.3%,12.8%,6.7%,6.3%,9.0%,4.5%,1.9%,23.6%,79.1%,76.4%,72.1%,19.0%,15.4%,97.5%,2.5%,97.5%,83.3%,9.4%,0.2%,2.3%,0.0%,2.2%,2.5%,1.2%,0.4%,0.4%,0.0%,"6,665,703",85.6%,10.8%,0.8%,2.8%,0.1%,2.5%,"4,903,144",48.5%,51.5%
IA,"3,139,508",49.6%,50.4%,6.3%,6.5%,6.6%,6.8%,7.2%,12.6%,12.0%,12.1%,6.8%,6.5%,9.2%,5.0%,2.5%,23.2%,79.4%,76.8%,72.3%,20.5%,16.7%,97.9%,2.1%,97.9%,90.0%,3.7%,0.4%,2.4%,0.1%,1.2%,2.1%,0.9%,0.4%,0.4%,0.0%,"3,139,508",92.0%,4.8%,0.9%,2.9%,0.2%,1.4%,"2,321,084",49.0%,51.0%
KS,"2,910,652",49.8%,50.2%,6.6%,6.9%,6.9%,6.9%,7.4%,13.2%,12.1%,11.9%,6.6%,6.2%,8.7%,4.6%,2.1%,24.4%,78.3%,75.6%,71.2%,19.1%,15.4%,96.5%,3.5%,96.5%,84.4%,5.9%,0.8%,2.9%,0.1%,2.5%,3.5%,1.2%,1.0%,0.5%,0.1%,"2,910,652",87.6%,7.4%,2.1%,3.6%,0.2%,2.8%,"2,084,736",49.2%,50.8%
KY,"4,449,052",49.2%,50.8%,6.2%,6.2%,6.5%,6.5%,6.8%,13.0%,12.4%,13.1%,6.9%,6.4%,9.5%,4.7%,1.7%,22.7%,79.9%,77.3%,73.1%,19.7%,16.0%,97.7%,2.3%,97.7%,87.0%,8.1%,0.2%,1.5%,0.1%,1.0%,2.3%,1.1%,0.4%,0.3%,0.0%,"4,449,052",89.0%,9.4%,0.7%,1.9%,0.1%,1.2%,"3,349,115",48.5%,51.5%
LA,"4,664,362",48.9%,51.1%,6.6%,6.5%,6.6%,6.4%,6.8%,14.3%,12.5%,12.3%,6.6%,6.3%,8.9%,4.4%,1.6%,23.7%,79.0%,76.3%,72.3%,18.6%,15.0%,98.0%,2.0%,98.0%,62.0%,32.2%,0.6%,1.7%,0.0%,1.4%,2.0%,0.8%,0.5%,0.2%,0.1%,"4,664,362",63.8%,33.4%,1.3%,2.1%,0.1%,1.6%,"3,459,488",48.0%,52.0%
ME,"1,335,492",49.0%,51.0%,4.8%,5.2%,5.4%,5.9%,5.7%,11.8%,11.4%,13.9%,8.0%,7.7%,11.9%,5.6%,2.5%,18.9%,83.4%,81.1%,77.4%,24.6%,20.0%,97.8%,2.2%,97.8%,94.3%,1.4%,0.6%,1.1%,0.0%,0.3%,2.2%,0.5%,0.9%,0.5%,0.0%,"1,335,492",96.4%,2.0%,1.7%,1.7%,0.1%,0.4%,"1,064,670",48.4%,51.6%
MD,"6,018,848",48.5%,51.5%,6.1%,6.2%,6.3%,6.4%,6.4%,13.8%,12.8%,13.9%,7.0%,6.3%,8.8%,4.4%,1.8%,22.3%,80.2%,77.7%,73.8%,18.7%,15.0%,96.6%,3.4%,96.6%,55.5%,29.9%,0.3%,6.3%,0.1%,4.5%,3.4%,1.2%,0.3%,0.8%,0.2%,"6,018,848",58.3%,31.8%,1.0%,7.5%,0.2%,5.0%,"4,280,946",47.5%,52.5%
MA,"6,850,553",48.5%,51.5%,5.3%,5.3%,5.8%,6.7%,7.1%,14.2%,12.2%,13.7%,7.1%,6.5%,9.2%,4.6%,2.3%,20.0%,82.4%,80.0%,75.5%,19.9%,16.2%,96.7%,3.3%,96.7%,78.1%,7.6%,0.2%,6.6%,0.0%,4.2%,3.3%,1.4%,0.3%,0.7%,0.1%,"6,850,553",80.9%,9.4%,0.7%,7.5%,0.2%,4.8%,"4,992,533",47.6%,52.4%
